modelo,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,accuracy_train,accuracy_test,brecha_train_test
Clasificación de transacciones (Hold-Out),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Clasificación de transacciones (CV agrupada),0.9975304294662486,0.9938646621504702,0.9971757865991343,0.9951610111099217,0.997567846743836,,,
Perfil financiero (Hold-Out),0.912,0.9122196007939184,0.9301346801346803,0.9161978765688503,0.911497652767085,0.904,0.912,-0.008000000000000007
Perfil financiero (Validación Cruzada),0.9020000000000001,0.9012654115588647,0.9139817717403924,0.9055240274818994,0.9013648021643306,,,
